date,ta,tb,tc
2020/10/27,176997,56772,55341
2020/10/28,178044,57036,55665
2020/10/29,178514,58520,57083
2020/10/30,173738,58836,57494
2020/10/31,206325,69910,68446
2020/11/1,239904,91640,89067
2020/11/2,242107,93833,90908
2020/11/3,225274,95385,92872
2020/11/4,265972,109057,107023
2020/11/5,292615,129850,127867
2020/11/6,288213,130946,129142
2020/11/7,255215,105912,104245
2020/11/8,253116,90029,88571
2020/11/9,243564,80597,78371
2020/11/10,325030,105731,103561
2020/11/11,412559,129530,127213
2020/11/12,321887,108537,106453
2020/11/13,275639,105040,103030
2020/11/14,268956,108891,107082
2020/11/15,260823,105279,103644
2020/11/16,246513,94040,91733
2020/11/17,218350,77039,74979
2020/11/18,211828,72203,70326
2020/11/19,194705,67039,65184
2020/11/20,185951,66715,65116
2020/11/21,186620,67780,66398
2020/11/22,194857,67320,66124
2020/11/23,207127,72198,70519
2020/11/24,217486,69541,68054
2020/11/25,225153,83944,82372
2020/11/26,239005,90919,89026
2020/11/27,218661,78455,76666
2020/11/28,209107,73645,72177
2020/11/29,202765,68678,67345
2020/11/30,203661,65715,64010
2020/12/1,258295,88808,86390
2020/12/2,238847,80528,78177
2020/12/3,238152,78798,76420
2020/12/4,229044,78633,76587
2020/12/5,227128,78015,75619
2020/12/6,261281,95601,93513
2020/12/7,436408,160791,157928
2020/12/8,426593,147932,144971
2020/12/9,340264,114843,112227
2020/12/10,335976,113208,110632
2020/12/11,326841,114887,112430
2020/12/12,333691,113489,111201
2020/12/13,328859,111455,109451
2020/12/14,306003,105237,103038
2020/12/15,284459,98954,96678
2020/12/16,265799,89211,87134
2020/12/17,252495,82999,81015
2020/12/18,227612,76338,74402
2020/12/19,215849,72757,70829
2020/12/20,209063,69399,67716
2020/12/21,206744,69036,67018
2020/12/22,207350,67960,65981
2020/12/23,202084,68450,66592
2020/12/24,193072,64993,63405
2020/12/25,182725,63574,61982
2020/12/26,184956,60959,59499
2020/12/27,179522,59395,58046
2020/12/28,181952,61694,60013
2020/12/29,180057,59121,57376
2020/12/30,172038,59787,57980
2020/12/31,167027,60898,59395
2021/1/1,164212,60814,59719
2021/1/2,174441,63632,62482
2021/1/3,190669,64595,63380
2021/1/4,174955,63111,61649
2021/1/5,179691,67297,65717
2021/1/6,183699,65963,64544
2021/1/7,190190,68003,66517
2021/1/8,186031,72738,71091
2021/1/9,186994,67266,65733
2021/1/10,195661,73681,72022
2021/1/11,201372,76426,74524
2021/1/12,199510,76530,74770
2021/1/13,201322,78538,76804
2021/1/14,200124,76774,74715
2021/1/15,199594,76499,73424
2021/1/16,208114,76856,71131
2021/1/17,191606,70613,67867
2021/1/18,193481,71239,68888
2021/1/19,190865,70307,67737
2021/1/20,203367,71549,69353
2021/1/21,184111,67350,65223
2021/1/22,228010,67144,65163
2021/1/23,189984,68090,66246
2021/1/24,193447,70858,69083
2021/1/25,230509,79017,76749
2021/1/26,188993,75034,73029
2021/1/27,177864,66696,64810
2021/1/28,175671,66425,64543
2021/1/29,168365,64882,63036
2021/1/30,174985,61806,60065
2021/1/31,162892,60228,58560
2021/2/1,173364,67556,65613
2021/2/2,176048,67860,65908
2021/2/3,201494,68763,67088
2021/2/4,155289,68577,66986
2021/2/5,164319,65391,63969
2021/2/6,148680,62422,61229
2021/2/7,146139,62936,61483
2021/2/8,141853,60940,59462
2021/2/9,121237,52176,51317
2021/2/10,117587,41963,40854
2021/2/11,52082,27299,26861
2021/2/12,68624,37006,36617
2021/2/13,108250,63492,63045
2021/2/14,133004,81155,80568
2021/2/15,130345,76897,76129
2021/2/16,121001,66977,66234
2021/2/17,115427,57247,56498
2021/2/18,134113,59952,58354
2021/2/19,132710,56792,55592
2021/2/20,129248,57127,55665
2021/2/21,124325,56732,55439
2021/2/22,130926,59019,57433
2021/2/23,132897,57541,55923
2021/2/24,143254,58529,57122
2021/2/25,126536,55560,54312
2021/2/26,112116,51158,49931
2021/2/27,125765,52603,51380
2021/2/28,131099,54210,52924
2021/3/1,124476,54238,52627
2021/3/2,123904,54776,53168
2021/3/3,217733,86450,84396
2021/3/4,203387,75879,73625
2021/3/5,182148,72209,70100
2021/3/6,172088,67230,65438
2021/3/7,169359,64478,62937
2021/3/8,180827,70389,68453
2021/3/9,169522,70754,67498
2021/3/10,164475,64618,62844
2021/3/11,153344,61660,60000
2021/3/12,151625,61613,59900
2021/3/13,141374,56321,54976
2021/3/14,141061,55223,53898
2021/3/15,146976,58402,56567
2021/3/16,159886,64255,62546
2021/3/17,160283,64316,62899
2021/3/18,150345,59874,58356
2021/3/19,142657,56095,54506
2021/3/20,138693,52981,51695
2021/3/21,141305,54349,53006
2021/3/22,145880,56415,54486
2021/3/23,144410,54013,52338
2021/3/24,143845,52127,50594
2021/3/25,150979,56926,55204
2021/3/26,145787,54810,53255
2021/3/27,134187,50699,49386
2021/3/28,137525,51255,50166
2021/3/29,145218,53012,51382
2021/3/30,144036,50086,48565
2021/3/31,138253,48775,47364
2021/4/1,139306,48077,46732
2021/4/2,128288,44994,43532
2021/4/3,120020,41273,40145
2021/4/4,110708,39579,38612
2021/4/5,123213,42033,41045
2021/4/6,127370,42453,40965
2021/4/7,126502,39350,37904
2021/4/8,121665,39225,37942
2021/4/9,117972,37816,36511
2021/4/10,113763,35856,34877
2021/4/11,116996,36970,35956
2021/4/12,122168,38505,37106
2021/4/13,117423,37347,35855
2021/4/14,115547,36762,35308
2021/4/15,132477,47676,46031
2021/4/16,235873,85294,82968
2021/4/17,217792,73529,70661
2021/4/18,180584,62553,60289
2021/4/19,194698,64820,61613
2021/4/20,179420,57696,55381
2021/4/21,170596,54175,52060
2021/4/22,168065,52924,50775
2021/4/23,158498,51080,49116
2021/4/24,170916,50303,48679
2021/4/25,167462,51732,49734
2021/4/26,151796,48728,46920
2021/4/27,147945,45482,43787
2021/4/28,151597,43513,41806
2021/4/29,141170,44635,42874
2021/4/30,122399,42825,41273
2021/5/1,141085,48676,47480
2021/5/2,128410,44072,42998
2021/5/3,128003,44349,43073
2021/5/4,132020,44482,43293
2021/5/5,139727,45431,44166
2021/5/6,147331,47063,45513
2021/5/7,145445,46067,44545
2021/5/8,160505,46513,44959
2021/5/9,143059,46048,44939
2021/5/10,191493,47401,45753
2021/5/11,145081,47977,46449
2021/5/12,159788,46416,44981
2021/5/13,138607,45018,43538
2021/5/14,133191,41866,40497
2021/5/15,130876,40468,39253
2021/5/16,133104,41699,40617
2021/5/17,140493,44353,42887
2021/5/18,175662,54028,52258
2021/5/19,187494,51037,49355
2021/5/20,157155,49581,47970
2021/5/21,146516,48377,46885
2021/5/22,138136,44051,42772
2021/5/23,137255,42473,41183
2021/5/24,142788,44610,42907
2021/5/25,149074,46680,44712
2021/5/26,158424,44157,42636
2021/5/27,138632,43207,41959
2021/5/28,130173,40821,39703
2021/5/29,125059,39475,38462
2021/5/30,123812,38409,37555
2021/5/31,127705,41014,39938
2021/6/1,221053,74197,73041
2021/6/2,176191,58215,57069
2021/6/3,170364,52760,51606
2021/6/4,152168,51629,50502
2021/6/5,124873,48632,47627
2021/6/6,122270,43667,42930
2021/6/7,130996,44345,43290
2021/6/8,117130,43001,42091
2021/6/9,126530,44376,43346
2021/6/10,114894,42055,41135
